Code, Label, LangCode
"219", "Tonga", "EN"
"500", "Total Donors", "EN"
"5009", "Total FAO", "EN"
"333", "Transition Markets", "EN"
"220", "Trinidad and Tobago", "EN"
"222", "Tunisia", "EN"
"223", "Turkey", "EN"
"213", "Turkmenistan", "EN"
"224", "Turks and Caicos Islands", "EN"
"227", "Tuvalu", "EN"
"226", "Uganda", "EN"
"230", "Ukraine", "EN"
"225", "United Arab Emirates", "EN"
"229", "United Kingdom", "EN"
"215", "United Republic of Tanzania", "EN"
"231", "United States of America", "EN"
"240", "United States Virgin Islands", "EN"
"252", "Unspecified", "EN"
"234", "Uruguay", "EN"
"232", "US Minor Is.", "EN"
"228", "USSR", "EN"
"346", "Ussr in Asia", "EN"
"344", "Ussr in Europe", "EN"
"469", "USSR, Former Area of", "EN"
"235", "Uzbekistan", "EN"
"155", "Vanuatu", "EN"
"236", "Venezuela (Bolivarian Republic of)", "EN"
"237", "Viet Nam", "EN"
"242", "Wake Island", "EN"
"243", "Wallis and Futuna Islands", "EN"
"245", "West Bank", "EN"
"434", "WestAfr Econ&Monet Union", "EN"
"311", "Western Africa", "EN"
"5105", "Western Africa", "EN"
"5305", "Western Asia", "EN"
"303", "Western Europe", "EN"
"5404", "Western Europe", "EN"
"205", "Western Sahara", "EN"
"296", "WFP", "EN"
"362", "World", "EN"
"5000", "World", "EN"
"372", "World (Former)", "EN"
"872", "World (Former) (inc 351)", "EN"
"862", "World (inc 351)", "EN"
"801", "World (inc 357)", "EN"
"5700", "World Developed Countries", "EN"
"5800", "World Developing Countries", "EN"
"855", "World Developing Countries (inc 351)", "EN"
"249", "Yemen", "EN"
"246", "Yemen Ar Rp", "EN"
"247", "Yemen Dem", "EN"
"248", "Yugoslav SFR", "EN"
"466", "Yugoslavia, Former Area", "EN"
"251", "Zambia", "EN"
"181", "Zimbabwe", "EN"
"5830", "null", "FR"
"5831", "null", "FR"
"5832", "null", "FR"
"5833", "null", "FR"
"5834", "null", "FR"
"5835", "null", "FR"
"5836", "null", "FR"
"5837", "null", "FR"
"5838", "null", "FR"
"364", "AAAID", "FR"
"330", "Acc Libre-Échange NordAm", "FR"
"414", "ACP Afrique", "FR"
"416", "ACP Caraïbes", "FR"
"417", "ACP Pacifique", "FR"
"363", "AEC", "FR"
"477", "AELE", "FR"
"2", "Afghanistan", "FR"
"359", "Afrique", "FR"
"5100", "Afrique", "FR"
"369", "Afrique (ex)", "FR"
"312", "Afrique Centrale", "FR"
"5102", "Afrique Centrale", "FR"
"5101", "Afrique de l'Est", "FR"
"311", "Afrique de l'Ouest", "FR"
"5105", "Afrique de l'Ouest", "FR"
"340", "Afrique Développée", "FR"
"421", "Afrique du Nord", "FR"
"5103", "Afrique du Nord", "FR"
"202", "Afrique du Sud", "FR"
"314", "Afrique du Sud", "FR"
"5104", "Afrique du Sud", "FR"
"309", "Afrique en Developpement", "FR"
"310", "Afrique Nord Occidentale", "FR"
"313", "Afrique Orientale", "FR"
