FeatureCode,Commodity,FurtherCode,CropStage,StartDate,EndDate
66,1005,27,3,1900-08-01,1900-09-21
66,1005,47,4,1900-08-01,1900-09-21
66,1005,47,1,1900-10-01,1900-11-21
66,1005,47,3,1900-12-01,1900-01-21
66,100820,1,4,1900-05-01,1900-07-21
66,100820,1,1,1900-08-01,1900-09-21
66,100820,1,3,1900-10-01,1900-11-21
66,1006,1,4,1900-04-01,1900-07-21
66,1006,1,1,1900-08-01,1900-08-21
66,1006,1,3,1900-09-01,1900-12-21
66,100700,1,4,1900-05-01,1900-07-21
66,100700,1,1,1900-08-01,1900-09-21
66,100700,1,3,1900-10-01,1900-11-21
66,071490_01,1,4,1900-02-01,1900-03-21
66,071490_01,1,1,1900-04-01,1900-06-21
66,071490_01,1,3,1900-07-01,1900-12-21
63,1005,27,4,1900-06-01,1900-09-11
63,1005,27,3,1900-09-21,1900-12-21
63,1005,47,1,1900-01-01,1900-02-21
63,1005,47,3,1900-03-01,1900-04-21
63,1005,47,4,1900-11-01,1900-12-21
63,071010,1,1,1900-01-01,1900-01-21
63,071010,1,3,1900-02-01,1900-04-21
63,071010,1,4,1900-11-01,1900-12-21
63,1006,27,4,1900-03-01,1900-07-01
63,1006,27,3,1900-07-11,1900-12-21
63,1006,47,3,1900-03-01,1900-07-21
63,1006,47,4,1900-12-01,1900-02-21
63,071420,1,4,1900-06-21,1900-08-11
63,071420,1,1,1900-08-21,1900-10-01
63,071420,1,3,1900-10-11,1900-01-11
64,100300,1,3,1900-05-11,1900-06-21
64,100300,1,4,1900-10-11,1900-11-11
64,100300,1,1,1900-11-21,1900-05-01
64,071010,1,1,1900-02-21,1900-03-21
64,071010,1,3,1900-04-01,1900-06-01
64,071010,1,4,1900-12-11,1900-02-11
64,1001_00,1,1,1900-01-01,1900-05-21
64,1001_00,1,3,1900-06-01,1900-06-21
64,1001_00,1,4,1900-11-11,1900-12-21
72,1005,27,4,1900-03-01,1900-05-21
72,1005,27,1,1900-06-01,1900-06-21
72,1005,27,3,1900-07-01,1900-09-21
72,1005,47,3,1900-01-01,1900-02-21
72,1005,47,4,1900-09-01,1900-10-21
72,1005,47,1,1900-11-01,1900-12-21
72,1005,61,1,1900-02-01,1900-03-21
72,1005,61,3,1900-04-01,1900-05-21
72,1005,61,4,1900-12-01,1900-01-21
72,1006,27,1,1900-04-01,1900-04-21
72,1006,27,3,1900-05-01,1900-08-21
72,1006,27,4,1900-12-01,1900-03-21
72,1006,47,4,1900-07-01,1900-09-21
72,1006,47,1,1900-10-01,1900-11-21
72,1006,47,3,1900-12-01,1900-01-21
72,100700,27,4,1900-03-01,1900-05-21
72,100700,27,1,1900-06-01,1900-06-21
72,100700,27,3,1900-07-01,1900-08-21
72,100700,47,3,1900-01-01,1900-02-21
72,100700,47,4,1900-09-01,1900-10-21
72,100700,47,1,1900-11-01,1900-12-21
72,100700,61,1,1900-02-01,1900-03-21
72,100700,61,3,1900-04-01,1900-05-21
72,100700,61,4,1900-12-01,1900-01-21
73,100300,1,3,1900-04-01,1900-09-11
73,100300,1,4,1900-10-11,1900-03-21
73,1005,1,3,1900-06-21,1900-09-01
73,1005,1,4,1900-09-11,1900-12-11
73,1005,1,1,1900-12-21,1900-06-11
73,1006,1,1,1900-02-21,1900-04-11
73,1006,1,3,1900-04-21,1900-07-11
73,1006,1,4,1900-10-11,1900-02-11
73,1001_00,1,4,1900-01-11,1900-03-21
73,1001_00,1,1,1900-04-01,1900-04-21
73,1001_00,1,3,1900-05-01,1900-09-11
40765,100300,1,3,1900-04-11,1900-05-11
40765,100300,1,4,1900-11-11,1900-12-11
40765,100300,1,1,1900-12-21,1900-04-01
40765,1005,1,4,1900-04-21,1900-05-11
40765,1005,1,1,1900-05-21,1900-10-01
40765,1005,1,3,1900-10-11,1900-11-11
40765,100820,1,4,1900-04-11,1900-06-11
40765,100820,1,1,1900-06-21,1900-08-01
40765,100820,1,3,1900-08-11,1900-10-11
40765,1006,1,4,1900-04-21,1900-07-01
40765,1006,1,1,1900-07-11,1900-10-01
40765,1006,1,3,1900-10-11,1900-11-11
40765,1001_00,1,3,1900-05-01,1900-06-01
40765,1001_00,1,4,1900-11-01,1900-11-21
40765,1001_00,1,1,1900-12-01,1900-04-21
75,070820_00,27,4,1900-05-01,1900-05-21
75,070820_00,27,1,1900-06-01,1900-07-21
75,070820_00,27,3,1900-08-01,1900-08-21
75,070820_00,47,4,1900-08-01,1900-08-21
75,070820_00,47,1,1900-09-01,1900-11-21
75,070820_00,47,3,1900-12-01,1900-12-21
75,1005,27,4,1900-05-01,1900-06-21
75,1005,27,1,1900-07-01,1900-07-21
75,1005,27,3,1900-08-01,1900-11-21
75,1005,47,3,1900-01-01,1900-02-21
75,1005,47,4,1900-09-01,1900-09-21
75,1005,61,3,1900-02-01,1900-02-21
75,1005,61,4,1900-12-01,1900-12-21
75,1006,27,4,1900-05-01,1900-06-21
75,1006,27,1,1900-07-01,1900-10-21
75,1006,27,3,1900-11-01,1900-01-21
75,1006,47,4,1900-01-01,1900-02-21
75,1006,47,3,1900-03-01,1900-04-21
